MonthYear,CPI,CPI_lag1,CPI_lag2,RON95_change_lag1,Diesel_change_lag1,Brent_change_lag1,USD_VND_change_lag1,RON95_MA3,Diesel_MA3,Brent_MA3,USDVND_MA3,Brent_WTI_Spread_lag1,Dummy_Tet,Dummy_Covid,Month_sin,Month_cos
2014-11,-2.75,-1.02,-1.85,-2.9750339324641106,-5.765766181080578,-9.949531362653207,0.0,-3.2131267854396497,-3.354880452476109,-6.41024354495688,0.0,3.030000000000001,0,0,-0.5000000000000004,0.8660254037844384
2014-12,-3.09,-2.75,-1.02,-5.412027632422312,-6.233902067824493,-9.138739563079046,0.0,-3.9318770133200993,-4.688171465210574,-7.845550663529359,0.0,3.6499999999999915,0,0,-2.4492935982947064e-16,1.0
2015-01,-3.96,-3.09,-2.75,-10.723255501277285,-2.697344394010537,-21.525679758308147,0.0,-6.370105688721235,-4.899004214305203,-13.537983561346799,0.0,3.0500000000000043,0,0,0.49999999999999994,0.8660254037844387
2015-02,-4.41,-3.96,-3.09,-11.16703948530946,0.0,-23.387872954764198,0.8731055257460207,-9.100774206336352,-2.9770821539450103,-18.01743075871713,0.29103517524867356,0.5399999999999991,1,0,0.8660254037844386,0.5000000000000001
2015-03,-0.31,-4.41,-3.96,-8.057331085720298,0.0,21.649916247906198,0.12364976786505277,-9.982542024102345,-0.899114798003512,-7.754545488388715,0.3322517645370245,7.520000000000003,0,0,1.0,6.123233995736766e-17
2015-04,2.47,-0.31,-4.41,6.70344191763983,0.0,-3.8037865748709154,0.0,-4.173642884463309,0.0,-1.8472477605763054,0.3322517645370245,8.07,0,0,0.8660254037844387,-0.4999999999999998
2015-05,1.02,2.47,-0.31,2.991535455181671,0.0,6.494900697799255,0.0,0.5458820957004008,0.0,8.113676790278179,0.041216589288350924,5.07,0,0,0.49999999999999994,-0.8660254037844387
2015-06,3.54,1.02,2.47,12.096756152125288,-4.318927613941015,7.661290322580627,0.8277099450088476,7.263911174982263,-1.439642537980338,3.450801481836322,0.27590331500294923,4.809999999999995,0,0,1.2246467991473532e-16,-1.0
2015-07,0.16,3.54,1.02,5.483737383312781,-8.307984748258857,-4.057428214731584,0.17281694391790836,6.857342996873246,-4.208970787399957,3.366254268549433,0.33350896297558535,1.6599999999999966,0,0,-0.4999999999999997,-0.8660254037844388
2015-08,-2.12,0.16,3.54,-1.0912401854129228,-0.012223444566683561,-8.00260247234872,0.0,5.496417783341715,-4.213045268922184,-1.4662467881665588,0.33350896297558535,5.660000000000004,0,0,-0.8660254037844385,-0.5000000000000004
2015-09,-3.17,-2.12,0.16,-6.000777570393789,0.0,-17.751060820367748,0.4236146357218695,-0.5360934574979771,-2.7734027309418465,-9.937030502482683,0.19881052654659262,3.6500000000000057,0,0,-1.0,-1.8369701987210297e-16
2015-10,-0.05,-3.17,-2.12,-7.009302290088004,0.0,2.364574376612194,0.5751945456909491,-4.700440015298239,-0.004074481522227853,-7.796362972034758,0.33293639380427287,2.1400000000000006,0,0,-0.8660254037844386,0.5000000000000001
2015-11,-0.38,-0.05,-3.17,2.336822099200897,0.0,1.7009659806803912,0.0,-3.5577525870936326,0.0,-4.5618401543583875,0.33293639380427287,2.210000000000001,0,0,-0.5000000000000004,0.8660254037844384
2015-12,-1.57,-0.38,-0.05,-3.8730212698621425,0.0,-8.589717117489148,0.0,-2.8485004869164166,0.0,-1.5080589200655208,0.19173151523031637,1.8300000000000054,0,0,-2.4492935982947064e-16,1.0
2016-01,-2.82,-1.57,-0.38,-3.554075254722555,0.0,-14.140501468262945,0.0,-1.6967581417946007,0.0,-7.009750868357234,0.0,0.8200000000000003,0,0,0.49999999999999994,0.8660254037844387
2016-02,-3.96,-2.82,-1.57,-4.750649569317956,0.0,-19.23178111023415,0.06614892645042669,-4.0592486979675515,0.0,-13.987333231995414,0.02204964215014223,-0.9800000000000004,1,0,0.8660254037844386,0.5000000000000001
2016-03,-3.64,-3.96,-2.82,-8.810120114611653,0.0,4.820846905537457,-0.07473357048420892,-5.7049483128840555,0.0,-9.517145224319878,-0.002861548011260743,1.8599999999999994,0,0,1.0,6.123233995736766e-17
2016-04,1.73,-3.64,-3.96,-2.4919173344132406,0.0,18.73834679925419,-0.06090064423105446,-5.3508956727809505,0.0,1.4424708648524998,-0.023161762754945563,0.6600000000000037,0,0,0.8660254037844387,-0.4999999999999998
2016-05,2.39,1.73,-3.64,2.94299871865924,-13.424999999999997,8.819680711855526,-0.09897242395122685,-2.7863462434552186,-4.474999999999999,10.79295813888239,-0.07820221288883007,0.8299999999999983,0,0,0.49999999999999994,-0.8660254037844387
2016-06,2.99,2.39,1.73,0.0,-26.78451277105439,12.409812409812426,0.17384237406723457,0.15036046141533252,-13.403170923684797,13.322613306974048,0.004656435294984422,0.030000000000001137,0,0,1.2246467991473532e-16,-1.0
2016-07,1.19,2.99,2.39,0.0,0.0,3.23063756953359,-0.06486648467506351,0.9809995728864127,-13.403170923684797,8.153376897067181,0.003334488480314738,-0.509999999999998,0,0,-0.4999999999999997,-0.8660254037844388
