ngay,mat_hang_clean,gia_moi
2012-11-11,"Mazút No2B (3,0S)",18450.0
2012-11-11,"Điêzen 0,25S",21800.0
2012-11-11,"Dầu DO 0,05S",21850.0
2012-11-11,"Mazút No2B (3,5S)",18150.0
2012-11-11,Xăng RON 95,23650.0
2012-12-28,"Dầu DO 0,05S",21550.0
2012-12-28,Mazút No3 (380),17550.0
2012-12-28,"Điêzen 0,25S",21500.0
2012-12-28,Xăng RON 92,23150.0
2012-12-28,"Mazút No2B (3,5S)",17650.0
2012-12-28,Xăng RON 95,23650.0
2012-12-28,"Mazút No2B (3,0S)",17950.0
2012-12-28,Dầu hỏa,21600.0
2013-03-28,"Điêzen 0,25S",21850.0
2013-03-28,Xăng RON 92,24550.0
2013-03-28,"Mazút No2B (3,5S)",18450.0
2013-03-28,"Mazút No2B (3,0S)",18750.0
2013-03-28,Dầu hỏa,22050.0
2013-04-09,Dầu hỏa,21600.0
2013-04-09,Xăng RON 95,24550.0
2013-04-09,"Điêzen 0,25S",21400.0
2013-04-18,Mazút No3 (380),18710.0
2013-04-18,Xăng RON 95,24620.0
2013-04-18,"Mazút No2B (3,0S)",19120.0
2013-04-18,Dầu hỏa,21820.0
2013-04-18,"Điêzen 0,25S",21300.0
2013-04-18,Xăng RON 92,23640.0
2013-04-18,"Dầu DO 0,05S",21770.0
2013-04-26,"Điêzen 0,25S",21200.0
2013-04-26,Xăng RON 92,23330.0
2013-06-28,Dầu hỏa,21600.0
2013-06-28,"Điêzen 0,25S",21790.0
2013-07-17,Dầu hỏa,22020.0
2013-07-17,"Mazút No2B (3,5S)",18770.0
2013-07-17,Xăng RON 95,25070.0
2013-07-17,Mazút No3 (380),18670.0
2013-08-22,Dầu hỏa,22020.0
2013-08-22,"Mazút No2B (3,0S)",18810.0
2013-08-22,Xăng RON 92,24270.0
2013-08-22,"Dầu DO 0,05S",22310.0
2013-08-22,Xăng RON 95,24770.0
2013-10-07,Xăng RON 92,23880.0
2013-10-07,"Mazút No2B (3,0S)",18810.0
2013-10-07,"Điêzen 0,25S",22260.0
2013-10-07,"Dầu DO 0,05S",22310.0
2013-10-07,Dầu hỏa,22020.0
2013-11-11,"Mazút No2B (3,0S)",18810.0
2013-11-11,"Dầu DO 0,05S",22310.0
2013-11-11,"Điêzen 0,25S",22260.0
2013-12-18,"Mazút No2B (3,0S)",18810.0
2013-12-18,Dầu hỏa,22400.0
2013-12-18,"Điêzen 0,25S",22910.0
2013-12-18,Xăng RON 92,24210.0
2013-12-18,Xăng RON 95,24710.0
2014-01-27,"Dầu DO 0,05S",22640.0
2014-01-27,Mazút No3 (380),18410.0
2014-01-27,Xăng RON 95,24710.0
2014-01-27,"Điêzen 0,25S",22590.0
2014-01-27,"Mazút No2B (3,5S)",18510.0
2014-01-27,Dầu hỏa,22400.0
2014-01-27,Xăng RON 92,24210.0
2014-01-27,"Mazút No2B (3,0S)",18810.0
2014-02-10,"Mazút No2B (3,0S)",18810.0
2014-02-10,"Điêzen 0,25S",22480.0
2014-02-10,Mazút No3 (380),18410.0
2014-02-10,"Mazút No2B (3,5S)",18510.0
2014-02-10,"Dầu DO 0,05S",22530.0
2014-02-10,Xăng RON 92,24210.0
2014-02-10,Dầu hỏa,22400.0
2014-02-10,Xăng RON 95,24710.0
2014-02-21,"Mazút No2B (3,5S)",18710.0
2014-02-21,Dầu hỏa,22630.0
2014-02-21,Mazút No3 (380),18610.0
2014-02-21,"Mazút No2B (3,0S)",19010.0
2014-02-21,Xăng RON 95,25010.0
2014-02-21,"Dầu DO 0,05S",22770.0
2014-02-21,"Điêzen 0,25S",22720.0
2014-02-21,Xăng RON 92,24510.0
2014-03-19,"Điêzen 0,25S",22790.0
2014-03-19,"Dầu DO 0,05S",22840.0
2014-03-19,Xăng RON 92,24690.0
2014-03-19,Mazút No3 (380),18490.0
2014-03-19,Dầu hỏa,22630.0
2014-03-19,Xăng RON 95,25190.0
2014-03-31,"Điêzen 0,25S",22550.0
2014-03-31,"Dầu DO 0,05S",22600.0
2014-03-31,Xăng RON 95,25190.0
2014-03-31,Mazút No3 (380),18360.0
2014-03-31,"Mazút No2B (3,0S)",18760.0
2014-03-31,Dầu hỏa,22480.0
2014-03-31,"Mazút No2B (3,5S)",18460.0
2014-04-11,Mazút No3 (380),18260.0
2014-04-11,"Mazút No2B (3,5S)",18360.0
2014-04-11,Xăng RON 92,24690.0
2014-04-11,Dầu hỏa,22350.0
2014-04-11,"Mazút No2B (3,0S)",18660.0
2014-04-11,"Điêzen 0,25S",22460.0
2014-04-11,"Dầu DO 0,05S",22510.0
2014-04-11,Xăng RON 95,25190.0
2014-04-22,"Mazút No2B (3,0S)",18590.0
2014-04-22,"Dầu DO 0,05S",22680.0
2014-04-22,Xăng RON 95,25400.0
2014-04-22,Xăng RON 92,24900.0
2014-04-22,Mazút No3 (380),18190.0
2014-04-22,"Mazút No2B (3,5S)",18290.0
2014-04-22,Dầu hỏa,22480.0
2014-06-12,Xăng RON 92,24900.0
2014-06-12,Dầu hỏa,22370.0
2014-06-12,"Mazút No2B (3,5S)",18290.0
2014-06-12,"Mazút No2B (3,0S)",18590.0
2014-06-12,Xăng RON 95,25400.0
2014-06-12,"Dầu DO 0,05S",22530.0
2014-06-12,"Điêzen 0,25S",22480.0
2014-06-23,"Mazút No2B (3,0S)",18860.0
2014-06-23,Dầu hỏa,22540.0
2014-06-23,Mazút No3 (380),18460.0
2014-06-23,"Mazút No2B (3,5S)",18560.0
2014-06-23,"Điêzen 0,25S",22480.0
2014-06-23,"Dầu DO 0,05S",22530.0
2014-06-23,Xăng RON 95,25730.0
2014-06-23,Xăng RON 92,25230.0
2014-07-07,"Mazút No2B (3,0S)",18990.0
2014-07-07,"Điêzen 0,25S",22770.0
2014-07-07,Xăng RON 95,26140.0
2014-07-07,"Dầu DO 0,05S",22820.0
2014-07-07,Dầu hỏa,22950.0
2014-07-07,Xăng RON 92,25640.0
2014-07-18,Xăng RON 92,25640.0
2014-07-18,Dầu hỏa,22810.0
2014-07-18,"Mazút No2B (3,0S)",18810.0
2014-07-18,"Mazút No2B (3,5S)",18510.0
2014-07-18,"Điêzen 0,25S",22630.0
2014-07-18,Xăng RON 95,26140.0
2014-07-18,"Dầu DO 0,05S",22680.0
2014-07-18,Mazút No3 (380),18410.0
2014-07-28,Dầu hỏa,22460.0
2014-07-28,"Mazút No2B (3,0S)",18810.0
2014-07-28,Mazút No3 (380),18410.0
2014-07-28,"Dầu DO 0,05S",22330.0
2014-07-28,Xăng RON 95,25810.0
2014-07-28,"Điêzen 0,25S",22280.0
2014-07-28,Xăng RON 92,25310.0
2014-08-07,"Điêzen 0,25S",22120.0
2014-08-07,"Dầu DO 0,05S",22170.0
2014-08-07,Xăng RON 92,24810.0
2014-08-07,Dầu hỏa,22320.0
2014-08-07,Xăng RON 95,25410.0
2014-08-07,Mazút No3 (380),18340.0
2014-08-07,"Mazút No2B (3,5S)",18440.0
2014-08-07,Xăng sinh học E5 RON 92,24810.0
2014-08-07,"Mazút No2B (3,0S)",18810.0
2014-08-18,Xăng RON 92,24210.0
2014-08-18,"Dầu DO 0,05S",22090.0
2014-08-18,"Mazút No2B (3,5S)",18380.0
2014-08-18,"Mazút No2B (3,0S)",18750.0
2014-08-18,"Điêzen 0,25S",22040.0
2014-08-18,Mazút No3 (380),18280.0
2014-08-18,Xăng sinh học E5 RON 92,24210.0
2014-08-18,Dầu hỏa,22250.0
2014-08-18,Xăng RON 95,24810.0
2014-08-29,"Mazút No2B (3,5S)",18320.0
2014-08-29,Xăng RON 92,23740.0
2014-08-29,Dầu hỏa,22070.0
2014-08-29,Mazút No3 (380),18220.0
2014-08-29,"Mazút No2B (3,0S)",18690.0
2014-08-29,"Điêzen 0,25S",21880.0
2014-08-29,"Dầu DO 0,05S",21930.0
2014-08-29,Xăng sinh học E5 RON 92,23740.0
2014-08-29,Xăng RON 95,24340.0
2014-09-09,Xăng RON 92,23710.0
2014-09-09,Dầu hỏa,21920.0
2014-09-09,"Mazút No2B (3,0S)",18590.0
2014-09-09,Mazút No3 (380),18120.0
2014-09-09,"Mazút No2B (3,5S)",18220.0
2014-09-09,"Điêzen 0,25S",21720.0
2014-09-09,"Dầu DO 0,05S",21770.0
2014-09-09,Xăng sinh học E5 RON 92,23710.0
2014-09-09,Xăng RON 95,24310.0
2014-09-19,"Điêzen 0,25S",21450.0
2014-09-19,Xăng sinh học E5 RON 92,23710.0
2014-09-19,"Mazút No2B (3,5S)",18100.0
2014-09-19,"Dầu DO 0,05S",21500.0
2014-09-19,Mazút No3 (380),18000.0
2014-09-19,"Mazút No2B (3,0S)",18470.0
2014-09-19,Xăng RON 92,23710.0
2014-09-19,Dầu hỏa,21670.0
2014-09-19,Xăng RON 95,24310.0
2014-09-30,Mazút No3 (380),17760.0
2014-09-30,Xăng RON 95,24160.0
2014-09-30,Xăng RON 92,23560.0
2014-09-30,"Mazút No2B (3,5S)",17860.0
2014-09-30,Dầu hỏa,21350.0
2014-09-30,Xăng sinh học E5 RON 92,23560.0
2014-09-30,"Điêzen 0,25S",21070.0
2014-09-30,"Dầu DO 0,05S",21120.0
2014-09-30,"Mazút No2B (3,0S)",18230.0
2014-10-13,Dầu hỏa,20500.0
2014-10-13,Xăng RON 95,23490.0
2014-10-13,"Dầu DO 0,05S",20240.0
2014-10-23,Xăng RON 92,22340.0
2014-10-23,Dầu hỏa,20060.0
2014-10-23,"Mazút No2B (3,0S)",16940.0
2014-10-23,"Mazút No2B (3,5S)",16570.0
2014-10-23,Xăng RON 95,22940.0
2014-10-23,Xăng sinh học E5 RON 92,22340.0
2014-10-23,"Dầu DO 0,05S",19760.0
2014-10-23,"Điêzen 0,25S",19710.0
2014-11-07,Xăng RON 92,21390.0
2014-11-07,Xăng sinh học E5 RON 92,21390.0
2014-11-07,"Dầu DO 0,05S",19240.0
2014-11-07,Dầu hỏa,19700.0
2014-11-07,"Mazút No2B (3,0S)",16040.0
2014-11-22,Xăng RON 92,20250.0
2014-11-22,Dầu hỏa,19250.0
2014-11-22,"Điêzen 0,25S",18600.0
2014-11-22,"Dầu DO 0,05S",18650.0
2014-11-22,Xăng RON 95,20850.0
2014-11-22,Xăng sinh học E5 RON 92,20250.0
2014-11-22,Mazút No3 (380),15040.0
2014-11-22,"Mazút No2B (3,5S)",15140.0
2014-11-22,"Mazút No2B (3,0S)",15510.0
2014-12-06,Xăng sinh học E5 RON 92,19930.0
2014-12-06,"Điêzen 0,25S",18360.0
2014-12-06,"Mazút No2B (3,5S)",14820.0
2014-12-06,Dầu hỏa,18970.0
2014-12-06,Xăng RON 95,20530.0
2014-12-22,Dầu hỏa,17400.0
2014-12-22,"Điêzen 0,25S",16940.0
2014-12-22,Xăng RON 95,18480.0
2014-12-22,Xăng sinh học E5 RON 92,17880.0
2014-12-22,"Mazút No2B (3,5S)",13130.0
2015-01-06,Xăng RON 92,17570.0
2015-01-06,"Mazút No2B (3,5S)",12930.0
2015-01-06,Dầu hỏa,17110.0
2015-01-21,"Mazút No2B (3,5S)",11850.0
2015-01-21,Xăng sinh học E5 RON 92,15670.0
2015-01-21,Dầu hỏa,15610.0
2015-01-21,Xăng RON 95,16270.0
2015-02-05,Dầu hỏa,15610.0
2015-02-05,"Mazút No2B (3,5S)",11850.0
2015-02-05,Xăng RON 95,16270.0
2015-02-05,Xăng sinh học E5 RON 92,15350.0
2015-02-05,"Điêzen 0,25S",15120.0
2015-03-11,"Mazút No2B (3,5S)",12760.0
2015-03-11,Xăng RON 95,17880.0
2015-03-11,Xăng sinh học E5 RON 92,16950.0
2015-03-11,"Điêzen 0,25S",15830.0
2015-03-11,Dầu hỏa,16320.0
2015-03-26,Dầu hỏa,16070.0
2015-05-05,Dầu hỏa,15810.0
2015-05-05,Xăng RON 95,19830.0
2015-05-05,Xăng sinh học E5 RON 92,18900.0
2015-05-20,Xăng sinh học E5 RON 92,20100.0
2015-05-20,Xăng RON 95,21030.0
2015-05-21,"Dầu DO 0,05S",16380.0
2015-05-21,"Mazút No2B (3,5S)",13150.0
2015-05-21,Dầu hỏa,15750.0
2015-06-04,"Dầu DO 0,05S",16360.0
2015-06-04,Dầu hỏa,15370.0
2015-06-19,Dầu hỏa,15090.0
2015-06-19,"Mazút No2B (3,5S)",12730.0
2015-06-19,Xăng RON 95,21310.0
2015-06-19,Xăng sinh học E5 RON 92,20380.0
2015-06-19,"Điêzen 0,25S",16020.0
2015-07-04,Xăng sinh học E5 RON 92,20050.0
2015-07-04,"Điêzen 0,25S",15740.0
2015-07-04,Xăng RON 95,20980.0
2015-07-04,Mazút No3 (380),12200.0
2015-07-04,"Mazút No2B (3,0S)",12670.0
2015-07-20,Xăng RON 95,20720.0
2015-07-20,Xăng sinh học E5 RON 92,19620.0
2015-07-20,"Điêzen 0,25S",14630.0
2015-07-20,Dầu hỏa,13750.0
2015-08-04,Dầu hỏa,13110.0
2015-08-04,Xăng RON 95,19900.0
2015-08-04,"Điêzen 0,25S",13810.0
2015-08-04,Xăng sinh học E5 RON 92,18800.0
2015-08-19,Xăng sinh học E5 RON 92,18040.0
2015-08-19,Xăng RON 95,19130.0
2015-08-19,"Điêzen 0,25S",13370.0
2015-08-19,Mazút No3 (380),10030.0
2015-08-19,"Mazút No2B (3,0S)",10500.0
2015-09-03,Xăng RON 95,17930.0
2015-09-03,Dầu hỏa,12280.0
2015-09-03,"Mazút No2B (3,5S)",9350.0
2015-09-03,Xăng sinh học E5 RON 92,16840.0
2015-09-18,"Điêzen 0,25S",13830.0
2015-09-18,Mazút No3 (380),9540.0
2015-09-18,Xăng sinh học E5 RON 92,17450.0
2015-09-18,Xăng RON 95,18550.0
2015-09-18,"Mazút No2B (3,0S)",10010.0
2015-10-03,Dầu hỏa,12720.0
2015-10-03,Xăng RON 95,18730.0
2015-10-03,Xăng sinh học E5 RON 92,17640.0
2015-10-03,"Điêzen 0,25S",13670.0
2015-10-19,"Điêzen 0,25S",13890.0
2015-10-19,"Mazút No2B (3,5S)",9880.0
2015-10-19,Xăng RON 95,18700.0
2015-10-19,Dầu hỏa,13000.0
2015-10-19,Xăng sinh học E5 RON 92,17610.0
2015-11-03,"Điêzen 0,25S",13460.0
2015-11-03,"Mazút No2B (3,0S)",9940.0
2015-11-03,Xăng RON 95,17930.0
2015-11-03,Mazút No3 (380),9470.0
2015-11-03,Xăng sinh học E5 RON 92,16730.0
2015-11-18,Dầu hỏa,12640.0
2015-11-18,Xăng sinh học E5 RON 92,16550.0
2015-11-18,"Điêzen 0,25S",13460.0
2015-12-03,Dầu hỏa,12200.0
2015-12-03,"Mazút No2B (3,5S)",9100.0
2015-12-03,Xăng RON 95,17490.0
2015-12-03,Xăng sinh học E5 RON 92,16300.0
2015-12-03,"Điêzen 0,25S",13180.0
2015-12-18,"Điêzen 0,25S",11930.0
2015-12-18,Xăng sinh học E5 RON 92,15910.0
2015-12-18,Dầu hỏa,11060.0
2015-12-18,Xăng RON 95,17100.0
2016-01-04,Dầu hỏa,10270.0
2016-01-04,Xăng sinh học E5 RON 92,15330.0
2016-01-04,"Mazút No2B (3,5S)",7540.0
2016-01-04,Xăng RON 95,16730.0
2016-01-19,Xăng sinh học E5 RON 92,14750.0
2016-01-19,Dầu hỏa,9380.0
2016-01-19,Xăng RON 95,16140.0
2016-02-03,Xăng RON 95,15410.0
2016-02-03,Xăng sinh học E5 RON 92,14260.0
2016-02-03,Dầu hỏa,8900.0
2016-02-18,Xăng RON 95,14450.0
2016-02-18,Xăng sinh học E5 RON 92,13320.0
2016-03-04,Xăng RON 95,14450.0
2016-03-04,Xăng sinh học E5 RON 92,13320.0
2016-03-04,Dầu hỏa,8900.0
2016-03-21,Xăng sinh học E5 RON 92,13890.0
2016-03-21,Xăng RON 95,15120.0
2016-04-05,Xăng RON 95-II,15640.0
2016-04-05,Xăng sinh học E5 RON 92-II,14440.0
2016-04-20,"Dầu DO 0,05S",10370.0
2016-04-20,"Mazút No2B (3,5S)",7560.0
2016-05-05,Dầu hỏa,9450.0
2016-05-05,Xăng sinh học E5 RON 92-II,15070.0
2016-05-05,Xăng RON 95-II,16280.0
2016-05-20,Dầu hỏa,9640.0
2016-05-20,"Mazút No2B (3,5S)",8150.0
2016-05-20,Xăng RON 95-II,16520.0
2016-05-20,Xăng sinh học E5 RON 92-II,15310.0
2016-06-04,Dầu hỏa,10290.0
2016-06-04,"Mazút No2B (3,5S)",8390.0
2016-06-04,Xăng sinh học E5 RON 92-II,15980.0
2016-06-04,Xăng RON 95-II,17200.0
2016-06-20,Dầu hỏa,10660.0
2016-06-20,Xăng sinh học E5 RON 92-II,15640.0
2016-06-20,Xăng RON 95-II,16860.0
2016-07-05,Xăng sinh học E5 RON 92-II,15440.0
2016-07-05,"Mazút No2B (3,5S)",9000.0
2016-07-05,Xăng RON 95-II,16660.0
2016-07-20,Xăng sinh học E5 RON 92-II,14840.0
2016-07-20,Xăng RON 95-II,16000.0
2016-08-04,Dầu hỏa,10290.0
2016-08-04,Xăng RON 95-II,15390.0
2016-08-04,Xăng sinh học E5 RON 92-II,14250.0
2016-08-19,Xăng sinh học E5 RON 92-II,15220.0
2016-08-19,"Mazút No2B (3,5S)",8830.0
2016-08-19,Xăng RON 95-II,16070.0
2016-08-19,Dầu hỏa,10490.0
2016-09-05,Xăng sinh học E5 RON 92-II,15830.0
2016-09-05,Dầu hỏa,10980.0
2016-09-05,"Mazút No2B (3,5S)",9330.0
2016-09-05,Xăng RON 95-II,16770.0
2016-09-20,Xăng RON 95-II,16930.0
2016-09-20,Dầu hỏa,10880.0
2016-09-20,Xăng sinh học E5 RON 92-II,15980.0
2016-10-05,Xăng RON 95-II,17100.0
2016-10-05,Xăng sinh học E5 RON 92-II,16140.0
2016-10-05,Dầu hỏa,11020.0
2016-10-05,"Mazút No2B (3,5S)",9470.0
2016-10-20,"Mazút No2B (3,5S)",10060.0
2016-10-20,Xăng RON 95-II,17540.0
2016-10-20,Dầu hỏa,11540.0
2016-10-20,Xăng sinh học E5 RON 92-II,16530.0
2016-11-04,Xăng sinh học E5 RON 92-II,16570.0
2016-11-04,Xăng RON 95-II,17590.0
2016-11-19,"Mazút No2B (3,5S)",9680.0
2016-11-19,Xăng sinh học E5 RON 92-II,16220.0
2016-11-19,Xăng RON 95-II,17070.0
2016-11-19,Dầu hỏa,10960.0
2016-12-05,Xăng sinh học E5 RON 92-II,16520.0
2016-12-05,"Mazút No2B (3,5S)",9960.0
2016-12-05,Xăng RON 95-II,17370.0
2016-12-05,Dầu hỏa,11200.0
2016-12-20,"Mazút No2B (3,5S)",10630.0
2016-12-20,Xăng sinh học E5 RON 92-II,17320.0
2016-12-20,Xăng RON 95-II,18290.0
2016-12-20,Dầu hỏa,11940.0
2017-01-04,Xăng RON 92,17320.0
2017-01-04,"Mazút No2B (3,0S)",11520.0
2017-01-04,"Mazút No2B (3,5S)",11120.0
2017-01-04,Mazút No3 (380),11020.0
2017-01-04,Xăng RON 92-II,17590.0
2017-01-04,Dầu hỏa,12250.0
2017-01-04,Xăng RON 95,18440.0
2017-01-04,"Dầu DO 0,05S",13750.0
2017-01-19,"Mazút No2B (3,0S)",12020.0
2017-01-19,Xăng RON 92,17320.0
2017-01-19,Xăng RON 92-II,17590.0
2017-01-19,Dầu hỏa,12600.0
2017-01-19,"Mazút No2B (3,5S)",11620.0
2017-01-19,Xăng RON 95,18440.0
2017-01-19,"Dầu DO 0,05S",14040.0
2017-01-19,Mazút No3 (380),11520.0
2017-02-03,"Dầu DO 0,05S",14020.0
2017-02-03,Dầu hỏa,12520.0
2017-02-03,"Mazút No2B (3,0S)",11600.0
2017-02-03,"Mazút No2B (3,5S)",11200.0
2017-02-03,Mazút No3 (380),11100.0
2017-02-03,Xăng RON 92,17320.0
2017-02-03,Xăng RON 95,18440.0
2017-02-03,Xăng RON 92-II,17590.0
2017-02-18,"Mazút No2B (3,0S)",11720.0
2017-02-18,Dầu hỏa,12750.0
2017-02-18,Mazút No3 (380),11220.0
2017-02-18,Xăng RON 92,17810.0
2017-02-18,"Mazút No2B (3,5S)",11320.0
2017-02-18,"Dầu DO 0,05S",14300.0
2017-02-18,Xăng RON 95,18940.0
2017-02-18,Xăng RON 92-II,18090.0
2017-03-06,"Dầu DO 0,05S",14440.0
2017-03-06,Dầu hỏa,12830.0
2017-03-06,"Mazút No2B (3,0S)",11770.0
2017-03-06,Mazút No3 (380),11270.0
2017-03-06,"Mazút No2B (3,5S)",11370.0
2017-03-06,Xăng RON 92-II,18020.0
2017-03-06,Xăng RON 95,18870.0
2017-03-06,Xăng RON 92,17760.0
2017-03-21,Xăng RON 92,17090.0
2017-03-21,Xăng RON 95,18160.0
2017-03-21,Xăng RON 92-II,17310.0
2017-03-21,"Mazút No2B (3,0S)",11250.0
2017-03-21,Mazút No3 (380),10750.0
2017-03-21,"Dầu DO 0,05S",13830.0
2017-03-21,Dầu hỏa,12170.0
2017-03-21,"Mazút No2B (3,5S)",10850.0
2017-04-05,Dầu hỏa,11980.0
2017-04-05,Xăng RON 92-II,17230.0
2017-04-05,"Dầu DO 0,05S",13460.0
2017-04-05,"Mazút No2B (3,0S)",11010.0
2017-04-05,Mazút No3 (380),10510.0
2017-04-05,Xăng RON 92,17030.0
2017-04-05,Xăng RON 95,18080.0
2017-04-05,"Mazút No2B (3,5S)",10610.0
2017-04-20,"Dầu DO 0,05S",13810.0
2017-04-20,Xăng RON 95,18430.0
2017-04-20,Xăng RON 92-II,17580.0
2017-04-20,Xăng RON 92,17380.0
2017-04-20,"Mazút No2B (3,0S)",11360.0
2017-04-20,Dầu hỏa,12330.0
2017-04-20,"Mazút No2B (3,5S)",10960.0
2017-04-20,Mazút No3 (380),10860.0
2017-05-05,Dầu hỏa,12050.0
2017-05-05,"Mazút No2B (3,0S)",11050.0
2017-05-05,"Mazút No2B (3,5S)",10900.0
2017-05-05,Mazút No3 (380),10800.0
2017-05-05,Xăng RON 92,17060.0
2017-05-05,Xăng RON 92-II,17270.0
2017-05-05,"Dầu DO 0,05S",13600.0
2017-05-05,Xăng RON 95,18120.0
2017-05-20,Dầu hỏa,11790.0
2017-05-20,"Mazút No2B (3,0S)",11040.0
2017-05-20,"Mazút No2B (3,5S)",10890.0
2017-05-20,Mazút No3 (380),10790.0
2017-05-20,Xăng RON 92-II,17060.0
2017-05-20,Xăng RON 95,17910.0
2017-05-20,"Dầu DO 0,05S",13260.0
2017-05-20,Xăng RON 92,16870.0
2017-06-05,Dầu hỏa,12110.0
2017-06-05,"Mazút No2B (3,0S)",11180.0
2017-06-05,"Mazút No2B (3,5S)",11030.0
2017-06-05,"Dầu DO 0,05S",13480.0
2017-06-05,Mazút No3 (380),10930.0
2017-06-05,Xăng RON 92-II,17360.0
2017-06-05,Xăng RON 95,18210.0
2017-06-05,Xăng RON 92,17150.0
2017-06-20,Xăng RON 95,17350.0
2017-06-20,Xăng RON 92-II,16500.0
2017-06-20,"Dầu DO 0,05S",12830.0
2017-06-20,Mazút No3 (380),10560.0
2017-06-20,"Mazút No2B (3,0S)",10810.0
2017-06-20,"Mazút No2B (3,5S)",10660.0
2017-06-20,Dầu hỏa,11380.0
2017-06-20,Xăng RON 92,16340.0
2017-07-05,"Dầu DO 0,05S",12950.0
2017-07-05,Dầu hỏa,11660.0
2017-07-05,"Mazút No2B (3,0S)",10920.0
2017-07-05,"Mazút No2B (3,5S)",10770.0
2017-07-05,Xăng RON 92,15910.0
2017-07-05,Xăng RON 92-II,16060.0
2017-07-05,Xăng RON 95,16910.0
2017-07-05,Mazút No3 (380),10670.0
2017-07-20,Xăng RON 95,17270.0
2017-07-20,"Dầu DO 0,05S",13320.0
2017-07-20,Dầu hỏa,11930.0
2017-07-20,"Mazút No2B (3,0S)",10980.0
2017-07-20,Xăng RON 92-II,16420.0
2017-07-20,Mazút No3 (380),10730.0
2017-07-20,Xăng RON 92,16250.0
2017-07-20,"Mazút No2B (3,5S)",10830.0
2017-08-04,Xăng RON 92,16820.0
2017-08-04,Mazút No3 (380),10990.0
2017-08-04,Xăng RON 92-II,17020.0
2017-08-04,"Dầu DO 0,05S",13790.0
2017-08-04,"Mazút No2B (3,0S)",11240.0
2017-08-04,Dầu hỏa,12390.0
2017-08-04,Xăng RON 95,17920.0
2017-08-04,"Mazút No2B (3,5S)",11090.0
2017-08-19,"Dầu DO 0,05S",13790.0
2017-08-19,"Mazút No2B (3,0S)",11250.0
2017-08-19,"Mazút No2B (3,5S)",11100.0
2017-08-19,Mazút No3 (380),11000.0
2017-08-19,Xăng RON 92,17250.0
2017-08-19,Xăng RON 92-II,17480.0
2017-08-19,Xăng RON 95,18380.0
2017-08-19,Dầu hỏa,12390.0
2017-09-05,Xăng RON 92,17530.0
2017-09-05,"Dầu DO 0,05S",13950.0
2017-09-05,Xăng RON 95,18690.0
2017-09-05,Xăng RON 92-II,17790.0
2017-09-05,Dầu hỏa,12540.0
2017-09-05,"Mazút No2B (3,5S)",11140.0
2017-09-05,"Mazút No2B (3,0S)",11290.0
2017-09-05,Mazút No3 (380),11040.0
2017-09-20,Xăng RON 92-II,18110.0
2017-09-20,"Dầu DO 0,05S",14440.0
2017-09-20,Xăng RON 95,19010.0
2017-09-20,Xăng RON 92,17830.0
2017-09-20,"Mazút No2B (3,5S)",11530.0
2017-09-20,"Mazút No2B (3,0S)",11680.0
2017-09-20,Mazút No3 (380),11430.0
2017-09-20,Dầu hỏa,13110.0
2017-10-05,Xăng RON 92,17730.0
2017-10-05,Xăng RON 95,18890.0
2017-10-05,Xăng RON 92-II,17990.0
2017-10-05,"Dầu DO 0,05S",14580.0
2017-10-05,"Mazút No2B (3,5S)",11740.0
2017-10-05,Dầu hỏa,13430.0
2017-10-05,Mazút No3 (380),11640.0
2017-10-05,"Mazút No2B (3,0S)",11890.0
